loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
L000015,B9565,VA,2015-07-10,2045-07-10,673398.00,219414.67,8.108,180,MA,PURCHASE,C,12,MEDIUM,CURRENT,0,PNC Bank,2022-12-22,2023-01-11,COMPLETE,SERVICING_SYS
L000016,B4492,VA,2011-08-18,2026-08-18,530547.00,373374.32,3.295,240,KS,REFINANCE,C,5,VERY_HIGH,CURRENT,0,Freedom Mortgage,2012-10-30,2012-11-16,COMPLETE,MANUAL_ENTRY
L000017,B2753,FHA,2021-11-12,2036-11-12,631542.00,312358.27,4.134,360,MI,PURCHASE,B+,20,HIGH,DELINQUENT,86,US Bank,2023-06-15,2023-06-30,COMPLETE,ORIGINATION_SYS
L000018,B5291,FHA,2012-01-27,2042-01-27,494151.00,414630.37,6.947,360,OK,PURCHASE,A,2,MEDIUM,CURRENT,0,US Bank,2015-11-23,2015-11-24,INCOMPLETE,MANUAL_ENTRY
L000019,B1653,VA,2022-05-24,2037-05-24,500664.00,191674.00,3.76,180,MN,CASH_OUT,D,19,MEDIUM,CURRENT,0,JPMorgan Chase,2032-07-22,2032-08-18,COMPLETE,ORIGINATION_SYS
L000020,B5065,VA,2019-04-01,2034-04-01,238073.00,185403.37,3.455,360,AZ,REFINANCE,B,6,VERY_HIGH,CURRENT,0,Bank of America,2029-10-07,2029-10-16,INCOMPLETE,ORIGINATION_SYS
L000021,B5573,VA,2015-01-01,2030-01-01,742094.00,315786.50,6.349,240,OH,REFINANCE,A,3,HIGH,CURRENT,0,JPMorgan Chase,2024-10-10,2024-10-28,MISSING,SERVICING_SYS
L000022,B9379,CONVENTIONAL,2010-11-10,2025-11-10,675550.00,393485.21,4.811,360,AZ,CASH_OUT,D,0,MEDIUM,DELINQUENT,50,Bank of America,2015-11-01,2015-11-14,COMPLETE,MANUAL_ENTRY
L000023,B6067,JUMBO,2017-05-28,2047-05-28,379164.00,277245.42,4.457,360,FL,PURCHASE,D,21,VERY_HIGH,CURRENT,0,PNC Bank,2027-07-31,2027-08-23,MISSING,MANUAL_ENTRY
L000024,B6279,JUMBO,2022-10-07,2042-10-07,475800.00,312200.54,5.151,360,NM,CASH_OUT,B,21,LOW,CURRENT,0,Bank of America,2026-01-24,2026-02-09,COMPLETE,MANUAL_ENTRY
L000025,B1757,FHA,2017-07-08,2032-07-08,296277.00,218450.12,8.404,360,CA,REFINANCE,D,28,MEDIUM,CURRENT,0,PNC Bank,2019-10-31,2019-11-22,COMPLETE,SERVICING_SYS
L000026,B2746,JUMBO,2015-06-22,2030-06-22,737926.00,0.00,3.813,360,AR,CASH_OUT,B,29,LOW,PAID_OFF,0,Quicken Loans,2025-03-15,2025-03-19,INCOMPLETE,MANUAL_ENTRY
L000027,B9270,JUMBO,2021-11-30,2051-11-30,674377.00,341399.09,7.483,360,HI,CASH_OUT,D,14,HIGH,DEFAULT,316,Freedom Mortgage,2028-11-12,2028-11-19,INCOMPLETE,SERVICING_SYS
L000028,B5451,VA,2021-09-10,2041-09-10,707193.00,322133.35,4.418,360,GA,PURCHASE,D,22,MEDIUM,CURRENT,0,PNC Bank,2029-10-10,2029-10-16,COMPLETE,SERVICING_SYS
L000029,B1320,JUMBO,2017-06-03,2047-06-03,538557.00,307113.88,5.362,240,MO,REFINANCE,A+,23,MEDIUM,CURRENT,0,Quicken Loans,2022-03-19,2022-03-26,COMPLETE,SERVICING_SYS
L000030,B3091,CONVENTIONAL,2010-08-26,2030-08-26,402457.00,295712.47,7.942,360,AK,PURCHASE,B+,13,MEDIUM,DEFAULT,174,Freedom Mortgage,2020-02-27,2020-03-12,COMPLETE,SERVICING_SYS
L000031,B7906,VA,2018-07-03,2038-07-03,271941.00,161955.70,7.509,240,XX,CASH_OUT,A,30,HIGH,CURRENT,0,JPMorgan Chase,2028-06-13,2028-07-03,COMPLETE,MANUAL_ENTRY
L000032,B8758,CONVENTIONAL,2010-11-26,2025-11-26,309295.00,132868.32,5.884,180,KY,REFINANCE,B,19,LOW,CURRENT,0,Freedom Mortgage,2012-09-10,2012-10-06,COMPLETE,SERVICING_SYS
L000033,B7498,FHA,2012-06-04,2042-06-04,76925.00,69523.02,2.956,360,KS,PURCHASE,B+,24,HIGH,CURRENT,0,Freedom Mortgage,2022-09-09,2022-09-30,COMPLETE,ORIGINATION_SYS
L000034,B1207,JUMBO,2022-09-11,2037-09-11,414069.00,267606.34,7.434,180,MS,CASH_OUT,D,22,MEDIUM,DELINQUENT,34,Quicken Loans,2028-06-13,2028-06-18,COMPLETE,MANUAL_ENTRY
L000035,B5397,VA,2016-01-22,2046-01-22,614315.00,493612.51,7.61,180,NH,PURCHASE,D,18,VERY_HIGH,CURRENT,0,Bank of America,2025-05-26,2025-05-26,COMPLETE,SERVICING_SYS
L000036,B5526,CONVENTIONAL,2014-01-29,2034-01-29,272423.00,144557.51,5.6,180,WA,REFINANCE,D,17,MEDIUM,CURRENT,0,PNC Bank,2017-04-18,2017-05-03,COMPLETE,SERVICING_SYS
L000037,B7046,JUMBO,2020-01-20,2035-01-20,147573.00,72495.70,5.821,240,WV,CASH_OUT,C,11,VERY_HIGH,CURRENT,0,Bank of America,2022-11-11,2022-11-20,COMPLETE,ORIGINATION_SYS
L000038,B4545,JUMBO,2014-04-27,2034-04-27,175362.00,0.00,4.159,360,ND,CASH_OUT,C,3,MEDIUM,CLOSED,0,Bank of America,2022-02-20,2022-02-27,COMPLETE,SERVICING_SYS
L000039,B3068,JUMBO,2010-04-26,2040-04-26,610081.00,233221.11,3.116,180,NM,REFINANCE,D,10,MEDIUM,CURRENT,0,Wells Fargo,2011-01-04,2011-01-12,MISSING,SERVICING_SYS
L000040,B3444,VA,2012-07-23,2027-07-23,470172.00,291335.15,3.011,180,WI,REFINANCE,A+,19,MEDIUM,CURRENT,0,Freedom Mortgage,2020-05-03,2020-05-19,COMPLETE,SERVICING_SYS
L000041,B4404,FHA,2016-09-01,2046-09-01,499660.00,249079.09,4.088,180,ID,CASH_OUT,A,5,LOW,DELINQUENT,69,Quicken Loans,2027-07-08,2027-07-22,COMPLETE,SERVICING_SYS
L000042,B4824,VA,2016-07-13,2031-07-13,292720.00,142633.14,7.227,360,IL,REFINANCE,A,17,MEDIUM,CURRENT,0,PNC Bank,2026-04-02,2026-04-06,MISSING,ORIGINATION_SYS
L000043,B5728,JUMBO,2011-08-08,2026-08-08,223982.00,182592.05,3.246,360,MT,REFINANCE,A+,17,VERY_HIGH,CURRENT,0,Quicken Loans,2020-12-04,2020-12-06,COMPLETE,SERVICING_SYS
L000044,B1339,VA,2017-03-25,2047-03-25,312529.00,99012.99,5.957,180,TN,REFINANCE,C,5,VERY_HIGH,CURRENT,0,PNC Bank,2024-11-14,2024-12-10,COMPLETE,ORIGINATION_SYS
L000045,B9117,VA,2020-07-17,2040-07-17,478184.00,247053.98,6.476,240,OK,PURCHASE,D,2,HIGH,DELINQUENT,84,Bank of America,2022-06-05,2022-06-15,COMPLETE,SERVICING_SYS
L000046,B6927,JUMBO,2021-07-17,2036-07-17,739606.00,639824.91,6.252,180,OK,PURCHASE,C,14,VERY_HIGH,CURRENT,0,Wells Fargo,2022-03-26,2022-03-26,MISSING,MANUAL_ENTRY
L000047,B2858,JUMBO,2015-05-15,2045-05-15,216071.00,108464.96,8.182,360,NY,CASH_OUT,C,16,HIGH,CURRENT,0,Quicken Loans,2020-01-10,2020-02-05,COMPLETE,SERVICING_SYS
L000048,B3236,CONVENTIONAL,2015-06-20,2035-06-20,628043.00,247459.79,4.157,240,DC,CASH_OUT,C,26,LOW,CURRENT,0,Bank of America,2022-04-09,2022-05-02,COMPLETE,MANUAL_ENTRY
L000049,B9903,JUMBO,2023-01-03,2053-01-03,563425.00,485908.64,5.232,240,VT,PURCHASE,A+,12,MEDIUM,CURRENT,0,Freedom Mortgage,2028-07-08,2028-08-01,COMPLETE,SERVICING_SYS
L000050,B9115,CONVENTIONAL,2020-08-10,2050-08-10,449749.00,247789.75,3.257,360,CT,REFINANCE,A,16,VERY_HIGH,DELINQUENT,82,Wells Fargo,2028-01-01,2028-01-24,COMPLETE,MANUAL_ENTRY
L000051,B2315,VA,2013-06-18,2028-06-18,542296.00,438170.53,7.614,360,MA,CASH_OUT,B+,28,VERY_HIGH,CURRENT,0,Freedom Mortgage,2020-07-13,2020-07-30,COMPLETE,ORIGINATION_SYS
L000052,B2646,JUMBO,2015-04-08,2045-04-08,351338.00,333183.26,3.498,240,AZ,REFINANCE,A,9,HIGH,DELINQUENT,57,Bank of America,2016-06-14,2016-06-27,COMPLETE,MANUAL_ENTRY
L000053,B4945,JUMBO,2019-03-30,2049-03-30,238803.00,98026.09,7.977,180,SD,REFINANCE,D,8,LOW,CURRENT,0,Freedom Mortgage,2029-02-01,2029-02-15,MISSING,MANUAL_ENTRY
L000054,B7951,VA,2022-04-05,2037-04-05,127449.00,74828.41,5.241,240,MO,REFINANCE,A,7,VERY_HIGH,CURRENT,0,US Bank,2028-12-05,2028-12-16,COMPLETE,MANUAL_ENTRY
L000055,B1803,JUMBO,2016-08-15,2031-08-15,740203.00,412495.69,7.497,240,IA,CASH_OUT,C,7,MEDIUM,CURRENT,0,US Bank,2026-05-28,2026-06-05,COMPLETE,MANUAL_ENTRY
L000056,B6977,FHA,2013-01-25,2043-01-25,151883.00,134752.48,3.041,240,NE,PURCHASE,B,4,HIGH,DELINQUENT,49,US Bank,2021-12-29,2022-01-14,MISSING,ORIGINATION_SYS
L000057,B2233,FHA,2015-10-07,2035-10-07,359478.00,282284.98,7.025,180,WA,CASH_OUT,D,30,HIGH,CURRENT,0,Wells Fargo,2017-02-19,2017-03-16,COMPLETE,SERVICING_SYS
L000058,B7086,CONVENTIONAL,2022-01-13,2037-01-13,526877.00,284292.65,6.549,240,XX,CASH_OUT,C,29,MEDIUM,DELINQUENT,46,PNC Bank,2028-09-02,2028-09-04,COMPLETE,SERVICING_SYS
L000059,B9071,CONVENTIONAL,2016-10-11,2046-10-11,478129.00,179699.70,3.083,360,NJ,REFINANCE,B+,30,VERY_HIGH,CURRENT,0,US Bank,2017-04-11,2017-05-04,COMPLETE,SERVICING_SYS
L000060,B4559,JUMBO,2012-03-22,2032-03-22,695558.00,0.00,5.168,180,CT,CASH_OUT,C,17,HIGH,CLOSED,0,Wells Fargo,2012-09-02,2012-09-14,COMPLETE,ORIGINATION_SYS
L000061,B4990,FHA,2020-03-14,2035-03-14,744963.00,326196.04,7.222,180,WI,CASH_OUT,B,18,MEDIUM,DELINQUENT,31,Freedom Mortgage,2020-11-06,2020-12-03,COMPLETE,ORIGINATION_SYS
L000062,B3858,CONVENTIONAL,2023-05-15,2038-05-15,340743.00,292345.22,6.466,180,MN,PURCHASE,A+,10,LOW,CURRENT,0,JPMorgan Chase,2024-11-27,2024-12-05,COMPLETE,MANUAL_ENTRY
L000063,B2786,JUMBO,2019-06-11,2049-06-11,169169.00,132743.94,5.523,360,DC,CASH_OUT,A+,9,VERY_HIGH,CURRENT,0,PNC Bank,2028-03-31,2028-04-30,COMPLETE,SERVICING_SYS
L000064,B6277,FHA,2019-01-04,2039-01-04,163206.00,0.00,2.894,240,PA,CASH_OUT,B+,10,VERY_HIGH,PAID_OFF,0,US Bank,2019-12-01,2019-12-17,COMPLETE,MANUAL_ENTRY
L000065,B4522,JUMBO,2023-07-31,2043-07-31,153996.00,125585.66,5.209,180,NJ,REFINANCE,D,23,LOW,CURRENT,0,Bank of America,2031-01-01,2031-01-14,COMPLETE,SERVICING_SYS
L000066,B7105,FHA,2018-05-25,2033-05-25,547305.00,0.00,5.838,360,OK,REFINANCE,B+,3,VERY_HIGH,PAID_OFF,0,Bank of America,2019-07-10,2019-08-06,COMPLETE,SERVICING_SYS
L000067,B8900,FHA,2011-02-26,2031-02-26,679575.00,341888.60,7.584,240,MS,PURCHASE,C,18,MEDIUM,CURRENT,0,Freedom Mortgage,2016-12-04,2016-12-17,INCOMPLETE,MANUAL_ENTRY
L000068,B1474,FHA,2023-10-06,2053-10-06,723918.00,479147.45,4.14,240,MN,PURCHASE,B,27,MEDIUM,DELINQUENT,72,US Bank,2033-02-22,2033-03-15,COMPLETE,ORIGINATION_SYS
L000069,B6105,VA,2010-09-09,2025-09-09,606251.00,266651.24,7.161,360,AR,PURCHASE,B,24,LOW,CURRENT,0,PNC Bank,2014-08-05,2014-08-07,COMPLETE,MANUAL_ENTRY
L000070,B6655,JUMBO,2019-07-06,2039-07-06,686565.00,403239.34,3.165,360,NY,CASH_OUT,B+,9,LOW,CURRENT,0,JPMorgan Chase,2028-01-22,2028-02-03,MISSING,ORIGINATION_SYS
L000071,B1126,JUMBO,2010-03-04,2025-03-04,366061.00,334748.38,6.982,180,OH,CASH_OUT,B,16,HIGH,DEFAULT,220,Wells Fargo,2013-07-01,2013-07-13,INCOMPLETE,ORIGINATION_SYS
L000072,B7626,JUMBO,2019-10-14,2034-10-14,532087.00,0.00,4.237,240,XX,REFINANCE,B,25,VERY_HIGH,PAID_OFF,0,Freedom Mortgage,2026-04-28,2026-05-20,MISSING,ORIGINATION_SYS
L000073,B6083,VA,2019-10-18,2034-10-18,305135.00,177951.60,3.829,180,SD,PURCHASE,A+,16,MEDIUM,CURRENT,0,Freedom Mortgage,2020-10-04,2020-10-15,COMPLETE,MANUAL_ENTRY
L000074,B2234,FHA,2013-04-24,2028-04-24,157798.00,62359.99,8.208,360,WI,CASH_OUT,A+,14,HIGH,CURRENT,0,Freedom Mortgage,2020-02-24,2020-03-15,COMPLETE,SERVICING_SYS
L000075,B6085,JUMBO,2011-07-14,2031-07-14,513688.00,364924.12,5.211,180,ME,PURCHASE,B+,27,LOW,DEFAULT,118,US Bank,2015-07-24,2015-08-12,COMPLETE,SERVICING_SYS
L000076,B8792,FHA,2023-01-07,2053-01-07,93015.00,0.00,8.246,240,MI,CASH_OUT,A,16,MEDIUM,PAID_OFF,0,Wells Fargo,2030-05-29,2030-06-05,COMPLETE,SERVICING_SYS
L000077,B6543,CONVENTIONAL,2021-10-03,2051-10-03,689427.00,277966.65,7.235,360,MI,PURCHASE,A+,21,VERY_HIGH,CURRENT,0,Bank of America,2025-01-03,2025-01-11,COMPLETE,MANUAL_ENTRY
L000078,B7421,FHA,2023-07-09,2038-07-09,399555.00,141033.44,6.07,180,MO,CASH_OUT,C,26,MEDIUM,DELINQUENT,88,PNC Bank,2027-07-10,2027-08-01,INCOMPLETE,MANUAL_ENTRY
L000079,B3953,FHA,2021-10-22,2036-10-22,727406.00,535222.74,4.55,240,FL,PURCHASE,A,9,LOW,CURRENT,0,US Bank,2022-02-03,2022-02-27,COMPLETE,MANUAL_ENTRY
L000080,B3658,FHA,2021-10-23,2036-10-23,744083.00,386102.32,7.488,360,HI,CASH_OUT,D,1,VERY_HIGH,DEFAULT,157,Bank of America,2028-08-03,2028-08-24,COMPLETE,SERVICING_SYS
L000081,B8684,FHA,2023-09-11,2043-09-11,520735.00,235425.29,4.707,360,NJ,REFINANCE,D,16,VERY_HIGH,CURRENT,0,JPMorgan Chase,2034-08-09,2034-09-04,COMPLETE,MANUAL_ENTRY
L000082,B9452,CONVENTIONAL,2013-02-07,2033-02-07,104714.00,0.00,4.21,180,NC,PURCHASE,D,2,MEDIUM,PAID_OFF,0,Freedom Mortgage,2019-05-28,2019-06-11,INCOMPLETE,ORIGINATION_SYS
L000083,B1461,VA,2019-04-22,2034-04-22,465712.00,291677.58,8.085,360,DC,PURCHASE,B,1,HIGH,CURRENT,0,Freedom Mortgage,2020-04-20,2020-05-05,COMPLETE,ORIGINATION_SYS
L000084,B3449,JUMBO,2020-07-09,2040-07-09,695239.00,210944.74,3.167,240,DE,PURCHASE,B,13,VERY_HIGH,CURRENT,0,Wells Fargo,2023-06-22,2023-06-25,INCOMPLETE,SERVICING_SYS
L000085,B8032,CONVENTIONAL,2023-05-21,2053-05-21,67233.00,47787.25,6.189,180,ID,CASH_OUT,B+,2,HIGH,CURRENT,0,Wells Fargo,2031-07-11,2031-08-10,COMPLETE,MANUAL_ENTRY
L000086,B7116,VA,2021-05-21,2051-05-21,71322.00,39497.76,6.984,240,MN,PURCHASE,B+,21,LOW,CURRENT,0,Freedom Mortgage,2028-08-05,2028-08-23,COMPLETE,SERVICING_SYS
L000087,B8612,JUMBO,2012-12-28,2027-12-28,419412.00,0.00,6.29,180,WY,REFINANCE,A,9,MEDIUM,PAID_OFF,0,Wells Fargo,2015-01-14,2015-02-08,COMPLETE,ORIGINATION_SYS
L000088,B4131,VA,2017-01-29,2037-01-29,590418.00,0.00,4.642,180,MI,REFINANCE,A,25,HIGH,PAID_OFF,0,Quicken Loans,2022-06-21,2022-07-19,COMPLETE,SERVICING_SYS
L000089,B5369,CONVENTIONAL,2018-09-03,2038-09-03,245892.00,153075.66,6.862,180,ID,CASH_OUT,C,10,LOW,CURRENT,0,Wells Fargo,2029-02-12,2029-02-22,COMPLETE,SERVICING_SYS
L000090,B6776,JUMBO,2020-01-01,2050-01-01,496815.00,202859.05,4.147,180,SD,REFINANCE,C,16,MEDIUM,CURRENT,0,Wells Fargo,2025-02-04,2025-02-08,INCOMPLETE,MANUAL_ENTRY
L000091,B1530,FHA,2019-10-30,2034-10-30,182361.00,62677.78,6.574,240,WI,PURCHASE,A+,4,HIGH,DEFAULT,277,Quicken Loans,2023-12-21,2023-12-31,COMPLETE,ORIGINATION_SYS
L000092,B5264,JUMBO,2012-07-18,2027-07-18,245085.00,153025.82,3.787,360,NY,PURCHASE,A,4,LOW,CURRENT,0,Quicken Loans,2018-12-04,2018-12-09,INCOMPLETE,SERVICING_SYS
L000093,B5914,FHA,2011-12-21,2041-12-21,385112.00,282709.13,6.771,360,DC,REFINANCE,A+,7,LOW,DELINQUENT,65,JPMorgan Chase,2018-02-17,2018-03-14,COMPLETE,SERVICING_SYS
L000094,B2412,CONVENTIONAL,2010-08-04,2030-08-04,630933.00,423974.56,4.356,360,ND,REFINANCE,D,26,LOW,CURRENT,0,JPMorgan Chase,2016-11-09,2016-11-19,COMPLETE,SERVICING_SYS
L000095,B3981,FHA,2020-06-13,2050-06-13,592491.00,0.00,5.096,180,ND,PURCHASE,C,5,MEDIUM,PAID_OFF,0,Bank of America,2029-04-12,2029-05-11,COMPLETE,SERVICING_SYS
L000096,B5961,CONVENTIONAL,2021-08-21,2041-08-21,132690.00,61421.33,5.515,180,PA,PURCHASE,B,21,HIGH,DELINQUENT,65,Freedom Mortgage,2024-10-18,2024-11-16,COMPLETE,ORIGINATION_SYS
L000097,B7825,CONVENTIONAL,2011-10-28,2026-10-28,722612.00,578931.11,5.488,360,TN,REFINANCE,D,7,VERY_HIGH,CURRENT,0,Bank of America,2014-04-08,2014-04-22,COMPLETE,ORIGINATION_SYS
L000098,B6231,VA,2013-07-18,2033-07-18,485810.00,298658.13,8.352,180,NC,CASH_OUT,A,10,MEDIUM,CURRENT,0,Quicken Loans,2020-06-05,2020-06-08,COMPLETE,ORIGINATION_SYS
L000099,B3616,VA,2013-02-28,2028-02-28,103063.00,50360.48,8.103,360,WI,PURCHASE,D,16,VERY_HIGH,CURRENT,0,Quicken Loans,2020-02-22,2020-03-21,COMPLETE,ORIGINATION_SYS
L000100,B1828,VA,2012-01-08,2032-01-08,579996.00,346373.56,5.469,360,ME,CASH_OUT,A,27,LOW,CURRENT,0,Quicken Loans,2018-08-23,2018-08-27,INCOMPLETE,MANUAL_ENTRY
L000101,B5728,CONVENTIONAL,2018-03-16,2038-03-16,433713.00,142868.34,4.818,240,LA,CASH_OUT,B+,19,LOW,CURRENT,0,JPMorgan Chase,2024-08-02,2024-08-05,COMPLETE,SERVICING_SYS
L000102,B1637,FHA,2022-07-06,2042-07-06,201275.00,86424.99,6.782,240,GA,CASH_OUT,A+,4,HIGH,CURRENT,0,US Bank,2026-01-17,2026-01-27,COMPLETE,MANUAL_ENTRY
L000103,B5911,JUMBO,2016-09-17,2046-09-17,402713.00,253610.42,7.394,240,DE,REFINANCE,A+,9,LOW,CURRENT,0,US Bank,2022-04-15,2022-04-30,COMPLETE,MANUAL_ENTRY
L000104,B7229,FHA,2022-12-22,2052-12-22,288596.00,221904.37,7.43,180,VT,PURCHASE,B,0,VERY_HIGH,CURRENT,0,Bank of America,2024-12-19,2025-01-01,COMPLETE,MANUAL_ENTRY
L000105,B2020,FHA,2014-07-29,2034-07-29,576195.00,0.00,5.612,360,TX,REFINANCE,A+,12,HIGH,PAID_OFF,0,JPMorgan Chase,2024-06-11,2024-06-25,MISSING,SERVICING_SYS
L000106,B5038,VA,2022-04-03,2042-04-03,724558.00,595857.77,5.849,180,MD,REFINANCE,B+,6,VERY_HIGH,CURRENT,0,Bank of America,2027-10-07,2027-10-22,COMPLETE,MANUAL_ENTRY
L000107,B6654,FHA,2016-02-19,2036-02-19,177794.00,119612.68,4.243,240,CO,REFINANCE,D,20,HIGH,CURRENT,0,PNC Bank,2026-04-06,2026-04-21,COMPLETE,MANUAL_ENTRY
L000108,B9700,FHA,2016-01-31,2046-01-31,334815.00,130319.18,6.328,180,MI,CASH_OUT,D,3,MEDIUM,DELINQUENT,67,Wells Fargo,2018-11-06,2018-12-06,COMPLETE,ORIGINATION_SYS
L000109,B5676,CONVENTIONAL,2019-02-16,2049-02-16,548807.00,334959.71,7.948,180,IA,CASH_OUT,B+,23,LOW,CURRENT,0,JPMorgan Chase,2030-01-07,2030-01-20,INCOMPLETE,ORIGINATION_SYS
L000110,B1613,CONVENTIONAL,2010-10-25,2030-10-25,569447.00,239795.59,4.29,360,MI,REFINANCE,D,20,VERY_HIGH,DELINQUENT,85,JPMorgan Chase,2021-04-13,2021-05-10,COMPLETE,SERVICING_SYS
L000111,B1230,VA,2014-04-29,2029-04-29,396747.00,160929.02,7.245,360,IL,PURCHASE,A+,27,VERY_HIGH,CURRENT,0,Freedom Mortgage,2017-04-16,2017-04-29,COMPLETE,ORIGINATION_SYS
L000112,B1111,VA,2018-12-28,2048-12-28,150018.00,63023.73,4.801,240,MI,REFINANCE,A+,23,LOW,CURRENT,0,Bank of America,2022-09-13,2022-10-03,COMPLETE,ORIGINATION_SYS
L000113,B6095,CONVENTIONAL,2011-05-24,2041-05-24,173967.00,104816.29,6.332,240,IA,PURCHASE,B,15,MEDIUM,CURRENT,0,Quicken Loans,2019-03-03,2019-03-26,MISSING,SERVICING_SYS
L000114,B2341,JUMBO,2019-04-30,2049-04-30,625914.00,559140.23,5.669,240,OR,PURCHASE,A,26,MEDIUM,DEFAULT,201,US Bank,2027-12-14,2027-12-31,COMPLETE,SERVICING_SYS
L000115,B8298,CONVENTIONAL,2021-09-02,2041-09-02,171886.00,127572.40,5.221,360,OR,PURCHASE,A+,14,HIGH,DELINQUENT,61,PNC Bank,2022-10-09,2022-10-09,COMPLETE,ORIGINATION_SYS
L000116,B1987,CONVENTIONAL,2014-11-21,2044-11-21,126577.00,41699.32,8.417,240,NE,PURCHASE,B,24,VERY_HIGH,CURRENT,0,Bank of America,2015-09-08,2015-10-06,COMPLETE,SERVICING_SYS
L000117,B3924,JUMBO,2018-06-05,2033-06-05,743939.00,646081.20,5.673,360,AL,PURCHASE,C,14,VERY_HIGH,CURRENT,0,US Bank,2028-02-26,2028-03-09,INCOMPLETE,ORIGINATION_SYS
L000118,B1527,JUMBO,2020-05-01,2040-05-01,212656.00,0.00,6.19,180,CA,PURCHASE,A+,1,VERY_HIGH,PAID_OFF,0,US Bank,2028-07-17,2028-08-07,COMPLETE,ORIGINATION_SYS
L000119,B1924,FHA,2015-06-28,2045-06-28,96385.00,54117.52,5.523,240,WA,CASH_OUT,C,18,HIGH,CURRENT,0,JPMorgan Chase,2018-01-02,2018-01-11,INCOMPLETE,MANUAL_ENTRY
L000120,B3869,JUMBO,2021-09-10,2036-09-10,483649.00,239563.74,5.835,180,TN,CASH_OUT,D,25,HIGH,CURRENT,0,PNC Bank,2032-05-30,2032-06-12,COMPLETE,SERVICING_SYS
L000121,B3365,JUMBO,2018-06-11,2033-06-11,614058.00,0.00,7.988,360,NE,CASH_OUT,A+,4,VERY_HIGH,PAID_OFF,0,JPMorgan Chase,2021-11-23,2021-12-01,COMPLETE,MANUAL_ENTRY
