loan_id,note_available,deed_available,title_available,appraisal_available,insurance_available,document_status,last_verified_at
L000061,N,N,Y,N,Y,COMPLETE,2026-06-16
L000062,Y,Y,Y,N,Y,COMPLETE,2025-11-15
L000063,Y,N,Y,N,Y,INCOMPLETE,2026-05-28
L000064,N,Y,Y,N,N,COMPLETE,2025-08-25
L000065,N,N,Y,Y,N,MISSING,2026-06-13
L000066,Y,N,Y,N,Y,MISSING,2026-06-19
L000067,Y,N,Y,N,Y,COMPLETE,2026-05-24
L000068,N,N,Y,N,Y,COMPLETE,2026-07-31
L000069,Y,Y,Y,Y,Y,COMPLETE,2026-04-02
L000070,Y,N,Y,Y,N,COMPLETE,2025-11-26
L000071,Y,N,N,N,N,INCOMPLETE,2026-05-26
L000072,Y,N,N,N,N,COMPLETE,2025-10-28
L000073,Y,N,Y,N,Y,COMPLETE,2026-02-09
L000074,Y,Y,Y,Y,Y,COMPLETE,2026-07-28
L000075,Y,N,Y,N,Y,INCOMPLETE,2025-08-25
L000076,N,N,N,N,Y,COMPLETE,2025-11-29
L000077,Y,N,Y,N,Y,COMPLETE,2026-07-15
L000078,Y,N,Y,N,Y,MISSING,2025-10-29
L000079,Y,Y,Y,N,N,COMPLETE,2026-01-12
L000080,Y,Y,Y,N,Y,COMPLETE,2026-04-03
L000081,N,Y,N,N,N,COMPLETE,2026-01-31
L000082,Y,N,Y,N,N,MISSING,2025-12-15
L000083,N,Y,N,N,N,COMPLETE,2026-06-16
L000084,Y,Y,Y,Y,Y,COMPLETE,2026-04-16
L000085,Y,N,N,N,Y,COMPLETE,2026-03-14
L000086,Y,N,N,N,N,COMPLETE,2026-04-17
L000087,Y,N,N,Y,N,COMPLETE,2025-09-15
L000088,Y,Y,Y,N,Y,COMPLETE,2026-02-25
L000089,N,Y,Y,Y,N,COMPLETE,2025-09-14
L000090,Y,N,N,N,N,COMPLETE,2025-10-11
L000091,Y,Y,Y,N,Y,COMPLETE,2025-10-28
L000092,N,Y,Y,Y,Y,COMPLETE,2026-04-15
L000093,Y,Y,Y,Y,Y,COMPLETE,2025-09-13
L000094,N,N,N,N,Y,COMPLETE,2026-06-19
L000095,N,N,N,N,Y,COMPLETE,2026-07-20
L000096,Y,N,N,N,Y,COMPLETE,2025-12-27
L000097,N,Y,Y,N,Y,MISSING,2026-01-25
L000098,Y,Y,N,N,Y,COMPLETE,2025-08-27
L000099,N,N,Y,N,Y,INCOMPLETE,2026-07-09
L000100,N,Y,Y,N,Y,COMPLETE,2026-01-20
L000101,Y,Y,Y,Y,Y,INCOMPLETE,2026-02-07
L000102,Y,Y,Y,N,N,COMPLETE,2026-02-11
L000103,N,Y,Y,N,Y,COMPLETE,2025-11-11
L000104,Y,Y,N,Y,N,COMPLETE,2025-09-24
L000105,Y,N,N,N,N,COMPLETE,2025-09-11
L000106,Y,Y,N,Y,Y,COMPLETE,2025-10-01
L000107,Y,N,Y,Y,N,COMPLETE,2026-01-11
L000108,Y,N,Y,N,Y,COMPLETE,2026-08-05
L000109,Y,Y,Y,N,Y,COMPLETE,2026-08-16
L000110,Y,N,Y,N,Y,COMPLETE,2026-06-25
L000111,Y,N,Y,N,Y,COMPLETE,2025-12-06
L000112,N,Y,Y,N,Y,COMPLETE,2025-09-24
L000113,Y,Y,N,N,N,MISSING,2025-10-05
L000114,Y,N,Y,Y,Y,MISSING,2026-06-02
L000115,Y,N,N,N,Y,COMPLETE,2026-03-06
L000116,Y,N,Y,N,Y,MISSING,2025-09-03
L000117,N,Y,Y,N,N,COMPLETE,2025-12-23
L000118,Y,Y,Y,N,Y,COMPLETE,2025-09-02
L000119,Y,Y,Y,N,N,COMPLETE,2025-12-26
L000120,Y,N,Y,Y,Y,COMPLETE,2025-11-18
L000121,Y,Y,Y,N,Y,COMPLETE,2026-06-16
L000122,Y,N,Y,N,N,COMPLETE,2026-07-23
L000123,Y,N,Y,N,Y,COMPLETE,2026-02-19
L000124,Y,Y,Y,Y,N,COMPLETE,2026-06-19
L000125,Y,N,Y,N,Y,COMPLETE,2025-09-17
L000126,Y,Y,Y,N,Y,INCOMPLETE,2026-02-23
L000127,Y,N,N,Y,Y,COMPLETE,2026-05-17
L000128,Y,N,Y,N,Y,COMPLETE,2025-09-18
L000129,Y,N,Y,N,Y,COMPLETE,2026-03-13
L000130,Y,N,Y,N,Y,COMPLETE,2026-08-19
L000131,Y,N,Y,N,N,COMPLETE,2025-11-21
L000132,N,N,N,N,Y,INCOMPLETE,2026-02-26
L000133,Y,N,Y,N,Y,COMPLETE,2026-08-19
L000134,Y,Y,N,N,N,COMPLETE,2026-04-13
L000135,Y,N,N,Y,N,COMPLETE,2025-11-25
L000136,N,N,Y,N,N,COMPLETE,2026-03-08
L000137,Y,Y,Y,N,Y,COMPLETE,2025-11-04
L000138,N,Y,Y,N,N,INCOMPLETE,2026-06-10
L000139,Y,N,Y,N,Y,COMPLETE,2026-07-17
L000140,Y,Y,Y,Y,Y,COMPLETE,2025-11-16
L000141,N,Y,Y,N,Y,COMPLETE,2026-06-01
L000142,Y,N,Y,N,N,COMPLETE,2025-12-25
L000143,Y,N,Y,N,Y,INCOMPLETE,2025-09-30
L000144,N,Y,Y,N,Y,MISSING,2025-12-18
L000145,N,Y,N,N,Y,COMPLETE,2026-03-15
L000146,Y,Y,N,N,Y,MISSING,2026-04-28
L000147,N,N,Y,Y,N,COMPLETE,2025-11-27
L000148,Y,N,Y,N,N,COMPLETE,2025-09-10
L000149,Y,N,N,Y,Y,COMPLETE,2025-10-05
L000150,Y,N,Y,N,N,MISSING,2026-07-22
L000151,N,Y,Y,Y,Y,COMPLETE,2025-12-23
L000152,N,N,Y,Y,Y,COMPLETE,2026-07-15
L000153,Y,Y,Y,N,Y,COMPLETE,2026-02-09
L000154,Y,Y,N,N,Y,COMPLETE,2025-09-16
L000155,Y,Y,Y,N,Y,COMPLETE,2026-08-10
L000156,Y,N,Y,N,Y,COMPLETE,2026-06-27
L000157,N,Y,N,N,N,COMPLETE,2026-08-08
L000158,Y,Y,Y,N,Y,MISSING,2026-03-29
L000159,N,Y,N,Y,Y,COMPLETE,2026-04-27
L000160,Y,Y,N,N,Y,COMPLETE,2026-05-17
L000161,Y,N,Y,N,N,COMPLETE,2025-11-05
L000162,N,Y,Y,N,N,COMPLETE,2026-01-30
L000163,Y,N,N,N,Y,COMPLETE,2025-12-09
L000164,Y,N,Y,N,Y,COMPLETE,2025-10-27
L000165,N,N,Y,N,N,INCOMPLETE,2026-04-20
L000166,N,N,N,Y,N,COMPLETE,2025-11-06
L000167,N,N,Y,Y,Y,COMPLETE,2026-03-28
L000168,Y,N,Y,N,N,COMPLETE,2026-02-01
L000169,Y,Y,Y,Y,Y,COMPLETE,2025-08-26
L000170,Y,Y,N,N,Y,COMPLETE,2026-06-04
L000171,Y,N,N,Y,Y,COMPLETE,2026-03-22
L000172,Y,N,N,N,Y,COMPLETE,2026-01-10
L000173,Y,Y,N,Y,Y,INCOMPLETE,2026-03-16
L000174,Y,N,Y,N,N,COMPLETE,2026-08-21
L000175,N,N,Y,Y,N,COMPLETE,2026-08-23
L000176,Y,Y,N,N,N,COMPLETE,2026-06-13
L000177,N,Y,Y,Y,Y,COMPLETE,2026-08-12
L000178,Y,Y,Y,Y,Y,COMPLETE,2026-01-07
L000179,Y,Y,Y,N,Y,COMPLETE,2025-11-17
L000180,Y,N,Y,Y,Y,INCOMPLETE,2025-12-01
L000181,Y,Y,N,N,N,INCOMPLETE,2026-06-28
L000182,Y,Y,Y,Y,Y,COMPLETE,2025-12-22
L000183,Y,Y,N,N,Y,COMPLETE,2025-11-27
L000184,Y,Y,Y,N,N,COMPLETE,2025-12-11
L000185,Y,N,Y,N,Y,COMPLETE,2025-11-23
L000186,N,N,Y,N,Y,COMPLETE,2026-02-01
L000187,N,N,Y,N,N,COMPLETE,2026-04-22
L000188,Y,N,Y,Y,Y,MISSING,2025-10-01
L000189,N,N,Y,N,Y,COMPLETE,2026-05-25
L000190,Y,Y,Y,N,N,MISSING,2026-03-11
L000191,N,Y,Y,N,Y,COMPLETE,2026-02-21
L000192,N,Y,Y,N,Y,COMPLETE,2026-06-27
L000193,Y,N,Y,N,Y,INCOMPLETE,2026-03-22
L000194,Y,Y,N,N,Y,COMPLETE,2026-06-25
L000195,N,Y,Y,N,N,COMPLETE,2026-02-10
L000196,N,Y,Y,N,Y,COMPLETE,2026-04-05
L000197,N,N,Y,Y,Y,INCOMPLETE,2026-03-18
L000198,Y,N,Y,N,N,COMPLETE,2026-06-19
L000199,N,Y,N,N,N,COMPLETE,2025-09-25
L000200,N,N,Y,N,Y,COMPLETE,2025-09-26
L000201,Y,Y,Y,N,Y,COMPLETE,2026-05-05
L000202,N,N,N,Y,Y,COMPLETE,2026-03-11
L000203,Y,N,Y,N,N,COMPLETE,2026-02-27
L000204,Y,N,Y,N,Y,COMPLETE,2025-10-15
L000205,N,N,Y,N,N,COMPLETE,2026-08-04
L000206,Y,N,Y,Y,N,MISSING,2025-08-26
L000207,Y,N,N,N,N,COMPLETE,2026-03-16
L000208,Y,N,Y,N,N,COMPLETE,2026-01-12
L000209,Y,N,Y,Y,Y,INCOMPLETE,2025-10-26
L000210,Y,N,N,N,N,COMPLETE,2026-08-15
L000211,Y,N,N,N,Y,COMPLETE,2025-11-16
L000212,Y,N,Y,Y,Y,COMPLETE,2026-04-13
L000213,N,N,Y,N,Y,COMPLETE,2026-06-06
L000214,Y,Y,N,Y,Y,COMPLETE,2025-10-25
L000215,N,N,Y,Y,N,COMPLETE,2025-12-12
L000216,Y,N,Y,N,Y,COMPLETE,2025-10-05
L000217,N,Y,N,Y,N,COMPLETE,2026-03-05
L000218,N,Y,N,Y,Y,COMPLETE,2026-07-13
L000219,Y,N,N,Y,Y,COMPLETE,2026-04-11
L000220,Y,Y,Y,Y,Y,COMPLETE,2026-03-01
L000221,Y,N,Y,N,Y,COMPLETE,2025-09-21
L000222,Y,Y,N,N,Y,COMPLETE,2025-12-08
L000223,N,N,Y,Y,N,COMPLETE,2025-11-17
L000224,Y,N,Y,N,Y,MISSING,2026-06-01
L000225,Y,Y,N,N,Y,COMPLETE,2025-12-19
L000226,Y,Y,Y,N,Y,INCOMPLETE,2026-04-08
L000227,Y,Y,N,N,Y,COMPLETE,2026-05-19
L000228,Y,Y,Y,N,Y,COMPLETE,2025-11-12
L000229,Y,Y,N,N,Y,INCOMPLETE,2026-05-10
L000230,Y,Y,Y,N,Y,INCOMPLETE,2025-11-03
L000231,Y,N,Y,N,Y,INCOMPLETE,2025-12-21
L000232,Y,Y,Y,N,N,COMPLETE,2026-07-24
L000233,Y,Y,Y,N,Y,COMPLETE,2026-06-08
L000234,N,Y,Y,N,Y,COMPLETE,2026-05-22
L000235,Y,N,Y,N,Y,COMPLETE,2025-12-27
L000236,Y,N,Y,Y,Y,INCOMPLETE,2026-06-21
L000237,N,N,N,N,Y,COMPLETE,2025-10-14
L000238,Y,Y,Y,N,N,MISSING,2025-10-01
L000239,N,N,Y,N,Y,COMPLETE,2025-10-16
L000240,Y,Y,Y,N,Y,COMPLETE,2025-12-14
L000241,Y,N,N,N,Y,COMPLETE,2025-10-19
L000242,Y,N,Y,N,N,COMPLETE,2026-01-12
L000243,Y,Y,Y,Y,Y,COMPLETE,2025-08-25
L000244,Y,Y,N,N,N,COMPLETE,2026-04-22
L000245,Y,Y,Y,N,N,COMPLETE,2026-05-20
L000246,Y,Y,Y,N,N,COMPLETE,2026-08-16
L000247,Y,N,N,N,N,INCOMPLETE,2026-06-05
L000248,Y,N,Y,N,Y,INCOMPLETE,2025-10-23
L000249,Y,N,Y,Y,Y,COMPLETE,2025-09-16
L000250,Y,N,Y,N,Y,COMPLETE,2026-07-11
L000251,Y,Y,Y,N,Y,INCOMPLETE,2026-08-18
L000252,N,Y,Y,N,Y,COMPLETE,2026-03-29
L000253,N,Y,Y,N,N,COMPLETE,2026-06-12
L000254,Y,N,Y,Y,Y,COMPLETE,2025-11-16
L000255,Y,N,Y,Y,Y,COMPLETE,2026-01-24
L000256,Y,Y,Y,N,Y,COMPLETE,2026-03-12
L000257,N,N,Y,N,Y,COMPLETE,2025-11-29
L000258,Y,Y,N,N,Y,COMPLETE,2026-01-20
L000259,N,N,Y,Y,N,COMPLETE,2025-11-15
L000260,Y,N,Y,Y,Y,COMPLETE,2026-05-01
L000261,N,Y,Y,N,N,MISSING,2026-07-13
L000262,Y,Y,Y,Y,N,COMPLETE,2026-06-06
L000263,Y,Y,Y,N,N,COMPLETE,2026-02-02
L000264,Y,N,Y,N,Y,MISSING,2026-04-01
L000265,N,N,Y,N,Y,COMPLETE,2025-11-24
L000266,Y,Y,Y,Y,Y,COMPLETE,2026-06-25
L000267,Y,Y,Y,N,Y,COMPLETE,2025-11-03
L000268,N,Y,Y,N,Y,COMPLETE,2025-10-25
L000269,Y,N,N,N,Y,COMPLETE,2026-07-12
L000270,N,N,Y,N,Y,COMPLETE,2026-07-29
L000271,Y,N,Y,N,Y,INCOMPLETE,2026-05-06
L000272,N,N,Y,N,Y,COMPLETE,2025-10-02
L000273,Y,Y,Y,N,N,COMPLETE,2025-12-15
L000274,Y,Y,Y,N,Y,COMPLETE,2026-08-08
L000275,Y,Y,Y,N,Y,COMPLETE,2026-07-16
L000276,Y,N,Y,N,Y,COMPLETE,2026-06-29
L000277,Y,N,N,N,Y,COMPLETE,2026-07-13
L000278,Y,N,Y,Y,N,COMPLETE,2026-05-10
L000279,Y,Y,Y,N,Y,MISSING,2026-02-09
L000280,Y,Y,Y,N,N,COMPLETE,2026-02-08
L000281,N,Y,Y,Y,Y,COMPLETE,2026-07-29
L000282,Y,Y,Y,Y,Y,COMPLETE,2025-09-05
L000283,N,Y,Y,N,Y,MISSING,2026-04-18
L000284,Y,N,Y,N,N,COMPLETE,2026-02-20
L000285,Y,Y,Y,Y,Y,COMPLETE,2026-01-11
L000286,Y,N,Y,N,Y,COMPLETE,2026-02-17
L000287,Y,N,N,Y,Y,COMPLETE,2026-06-29
L000288,Y,Y,Y,N,Y,INCOMPLETE,2025-11-28
L000289,N,N,Y,Y,Y,COMPLETE,2026-01-20
L000290,Y,Y,Y,N,Y,MISSING,2026-02-18
L000291,N,N,N,N,Y,COMPLETE,2025-11-01
L000292,Y,N,N,Y,Y,COMPLETE,2026-06-08
L000293,Y,N,N,N,N,INCOMPLETE,2026-06-02
L000294,N,Y,Y,N,Y,MISSING,2025-11-30
L000295,Y,N,Y,Y,Y,MISSING,2026-03-15
L000296,Y,Y,Y,N,Y,COMPLETE,2026-06-26
L000297,Y,N,Y,N,Y,MISSING,2026-01-11
L000298,Y,Y,Y,N,Y,MISSING,2025-12-27
L000299,Y,Y,Y,N,Y,COMPLETE,2026-03-13
L000300,Y,N,Y,N,Y,COMPLETE,2026-08-22
L000301,Y,N,Y,Y,N,MISSING,2026-07-09
L000302,N,N,Y,N,Y,COMPLETE,2026-05-11
L000303,Y,Y,Y,N,Y,COMPLETE,2025-11-25
L000304,Y,Y,Y,N,Y,COMPLETE,2026-04-21
L000305,Y,N,N,N,Y,COMPLETE,2026-08-09
L000306,Y,Y,Y,N,Y,INCOMPLETE,2026-07-26
L000307,N,Y,Y,Y,Y,COMPLETE,2026-04-03
L000308,Y,N,Y,N,N,COMPLETE,2026-07-20
L000309,Y,N,N,N,Y,COMPLETE,2026-01-13
L000310,Y,N,Y,Y,Y,MISSING,2026-07-24
L000311,N,N,Y,N,Y,INCOMPLETE,2026-01-20
L000312,Y,N,Y,Y,N,INCOMPLETE,2025-10-23
L000313,Y,Y,Y,N,Y,COMPLETE,2025-09-06
L000314,N,N,Y,Y,Y,INCOMPLETE,2025-12-14
L000315,Y,N,Y,N,Y,INCOMPLETE,2026-04-27
L000316,Y,N,Y,N,Y,COMPLETE,2026-08-07
L000317,Y,N,Y,Y,N,INCOMPLETE,2025-12-24
L000318,Y,Y,Y,N,Y,COMPLETE,2026-04-23
L000319,Y,Y,N,N,N,INCOMPLETE,2026-08-01
L000320,N,N,Y,N,N,COMPLETE,2026-06-28
L000321,Y,Y,Y,Y,N,COMPLETE,2025-10-04
L000322,Y,N,N,N,Y,COMPLETE,2026-04-10
L000323,Y,N,N,Y,Y,INCOMPLETE,2025-12-23
L000324,Y,Y,N,N,Y,COMPLETE,2026-02-20
L000325,Y,Y,N,N,Y,COMPLETE,2026-08-22
L000326,Y,N,Y,Y,N,COMPLETE,2026-03-10
L000327,N,N,Y,N,Y,COMPLETE,2026-02-22
L000329,Y,Y,Y,N,N,MISSING,2026-08-08
L000330,Y,N,Y,N,Y,COMPLETE,2026-01-08
L000331,Y,N,N,N,Y,COMPLETE,2026-05-11
L000332,Y,N,Y,N,N,COMPLETE,2025-10-23
L000333,Y,N,Y,N,N,COMPLETE,2025-10-03
L000334,N,Y,N,N,N,INCOMPLETE,2025-10-15
L000335,Y,Y,N,N,Y,COMPLETE,2026-06-23
L000336,Y,Y,N,N,Y,COMPLETE,2025-11-14
L000337,Y,Y,Y,Y,Y,COMPLETE,2026-02-06
L000338,N,N,Y,N,Y,INCOMPLETE,2025-08-27
L000339,Y,N,N,Y,Y,COMPLETE,2026-01-01
L000340,Y,N,Y,Y,Y,INCOMPLETE,2025-12-13
L000341,N,Y,Y,Y,Y,COMPLETE,2026-04-27
L000342,N,N,Y,Y,N,INCOMPLETE,2026-06-08
L000343,Y,N,Y,Y,Y,COMPLETE,2025-12-21
L000344,Y,Y,Y,N,N,COMPLETE,2025-10-12
L000345,Y,Y,Y,Y,N,COMPLETE,2025-11-07
L000346,Y,N,Y,N,Y,INCOMPLETE,2025-11-03
L000347,Y,N,N,N,N,INCOMPLETE,2025-08-28
L000348,Y,N,Y,N,Y,COMPLETE,2026-01-01
L000349,Y,N,Y,Y,N,COMPLETE,2026-07-05
L000350,N,Y,Y,N,Y,COMPLETE,2026-03-13
L000351,Y,Y,Y,Y,N,COMPLETE,2026-07-01
L000352,Y,N,Y,Y,Y,MISSING,2025-09-12
L000353,Y,Y,Y,N,N,COMPLETE,2025-11-29
L000354,Y,Y,Y,Y,Y,INCOMPLETE,2026-06-21
L000355,Y,Y,Y,Y,N,COMPLETE,2026-04-19
L000356,Y,N,Y,N,N,COMPLETE,2025-10-29
L000357,Y,Y,N,Y,N,MISSING,2025-11-10
L000358,N,Y,N,N,Y,COMPLETE,2026-06-28
L000359,N,Y,Y,N,N,COMPLETE,2026-08-21
L000360,Y,N,Y,N,Y,COMPLETE,2026-07-17
L000361,N,N,Y,N,N,COMPLETE,2026-04-20
L000362,Y,Y,N,N,Y,MISSING,2026-01-12
L000363,Y,Y,Y,Y,Y,COMPLETE,2025-09-15
L000364,Y,N,N,Y,Y,INCOMPLETE,2026-03-17
L000365,Y,Y,N,N,Y,COMPLETE,2026-04-27
L000366,Y,N,Y,Y,Y,COMPLETE,2026-07-04
L000367,Y,Y,Y,N,N,COMPLETE,2025-12-03
L000368,Y,Y,Y,N,N,COMPLETE,2025-12-21
L000369,Y,N,N,N,Y,COMPLETE,2026-07-20
L000370,Y,N,Y,Y,Y,INCOMPLETE,2026-04-26
L000371,Y,Y,N,Y,Y,COMPLETE,2025-09-10
L000372,N,Y,N,Y,Y,COMPLETE,2025-11-04
L000373,Y,N,Y,Y,N,COMPLETE,2026-05-04
L000374,Y,Y,N,Y,N,COMPLETE,2026-05-19
L000375,Y,Y,Y,N,Y,COMPLETE,2025-12-29
L000376,Y,Y,N,N,N,COMPLETE,2026-08-10
L000377,N,Y,Y,Y,Y,COMPLETE,2026-02-16
L000378,Y,Y,N,Y,Y,COMPLETE,2026-04-08
L000379,N,N,Y,N,Y,COMPLETE,2025-12-23
L000380,Y,Y,Y,N,Y,INCOMPLETE,2026-03-09
L000381,Y,Y,Y,N,Y,COMPLETE,2026-01-11
L000382,Y,Y,Y,N,Y,MISSING,2026-08-07
L000383,Y,N,Y,Y,Y,COMPLETE,2025-08-30
L000384,Y,Y,Y,N,N,INCOMPLETE,2026-01-24
L000385,Y,N,Y,N,Y,MISSING,2026-01-08
L000386,Y,N,Y,N,Y,COMPLETE,2026-03-16
L000387,Y,Y,Y,Y,Y,MISSING,2025-09-18
L000388,Y,N,N,N,Y,COMPLETE,2026-05-27
L000389,Y,Y,N,N,Y,INCOMPLETE,2025-10-21
L000390,Y,Y,Y,Y,Y,INCOMPLETE,2025-10-07
L000391,Y,N,Y,N,N,COMPLETE,2026-07-29
L000392,N,N,Y,N,Y,INCOMPLETE,2026-04-07
L000393,N,N,Y,N,Y,COMPLETE,2026-07-30
L000394,Y,Y,Y,Y,Y,COMPLETE,2026-01-25
L000395,Y,N,Y,N,Y,COMPLETE,2026-05-08
L000396,Y,N,Y,Y,Y,COMPLETE,2026-04-02
L000397,Y,N,N,N,Y,COMPLETE,2026-01-20
L000398,Y,Y,Y,N,Y,COMPLETE,2025-10-20
L000399,Y,Y,Y,N,Y,COMPLETE,2026-07-01
L000400,N,N,Y,N,N,COMPLETE,2025-11-12
L000401,Y,N,Y,N,Y,COMPLETE,2026-06-30
L000402,Y,Y,N,Y,Y,COMPLETE,2025-10-05
L000403,N,N,N,N,N,COMPLETE,2026-05-20
L000404,Y,Y,Y,Y,N,COMPLETE,2025-10-30
L000405,N,N,N,Y,Y,COMPLETE,2026-02-13
L000406,Y,N,Y,N,Y,COMPLETE,2026-01-22
L000407,Y,N,Y,N,N,COMPLETE,2025-09-18
L000408,Y,Y,Y,Y,Y,INCOMPLETE,2025-10-05
L000409,Y,N,Y,N,N,COMPLETE,2025-08-26
L000410,Y,N,Y,N,Y,COMPLETE,2026-04-10
L000411,Y,N,Y,Y,N,COMPLETE,2026-02-09
L000412,Y,N,N,Y,N,COMPLETE,2026-03-29
L000413,N,Y,N,Y,Y,COMPLETE,2025-10-02
L000414,N,N,Y,N,Y,MISSING,2026-01-05
L000415,Y,N,Y,N,Y,COMPLETE,2025-11-09
L000416,Y,N,Y,N,Y,INCOMPLETE,2025-11-05
L000417,N,N,N,N,Y,COMPLETE,2025-09-03
L000418,N,Y,Y,N,Y,COMPLETE,2026-02-19
L000419,Y,N,Y,Y,Y,COMPLETE,2025-09-26
L000420,Y,Y,N,N,N,COMPLETE,2026-08-17
L000421,Y,N,N,N,N,COMPLETE,2025-10-07
L000422,Y,N,Y,N,N,COMPLETE,2026-01-24
L000423,N,Y,Y,N,Y,COMPLETE,2025-12-21
L000424,Y,N,Y,N,Y,INCOMPLETE,2025-12-28
L000425,Y,Y,Y,N,Y,COMPLETE,2026-02-21
L000426,Y,N,Y,N,Y,COMPLETE,2025-10-11
L000427,Y,N,Y,Y,Y,COMPLETE,2025-10-06
L000428,Y,N,Y,N,N,COMPLETE,2026-02-23
L000429,Y,N,N,N,N,COMPLETE,2026-04-23
L000430,Y,N,Y,Y,N,MISSING,2026-03-07
L000431,Y,N,Y,Y,N,COMPLETE,2025-12-27
L000432,N,Y,Y,N,Y,COMPLETE,2025-09-14
L000433,N,Y,Y,Y,N,INCOMPLETE,2026-01-18
L000434,N,Y,Y,N,Y,INCOMPLETE,2025-11-21
L000435,Y,Y,N,N,N,INCOMPLETE,2026-04-11
L000436,Y,N,Y,N,Y,COMPLETE,2025-12-21
L000437,N,Y,N,N,Y,COMPLETE,2025-12-28
L000438,Y,Y,Y,N,Y,COMPLETE,2026-03-30
L000439,Y,Y,N,Y,N,COMPLETE,2026-03-07
L000440,Y,N,Y,N,N,COMPLETE,2026-08-06
L000441,Y,N,Y,N,Y,COMPLETE,2025-11-26
L000442,Y,N,Y,Y,Y,COMPLETE,2026-08-01
L000443,Y,Y,Y,Y,N,COMPLETE,2025-11-01
L000444,Y,Y,Y,N,Y,COMPLETE,2026-01-15
L000445,Y,N,Y,Y,N,COMPLETE,2025-09-02
L000446,N,N,Y,Y,N,COMPLETE,2025-11-04
L000447,Y,N,Y,Y,Y,COMPLETE,2026-07-01
L000448,Y,N,Y,N,Y,MISSING,2025-10-26
L000449,Y,Y,Y,N,Y,COMPLETE,2026-05-20
